,Word 0,Word 1,Word 2,Word 3,Word 4,Word 5,Word 6,Word 7,Word 8,Word 9
Topic 0,bitch,never,dont,lol,shit,even,said,going,cunt,aint
Topic 1,hoe,got,bitch,dont,hoes,aint,shit,called,know,dat
Topic 2,trash,good,yellow,pussy,white,turn,shes,red,amp,youre
Topic 3,bitch,ass,fuck,nigga,niggah,fag,talk,white,look,shit
Topic 4,bitch,get,bird,faggot,real,time,cant,dont,last,monkey
Topic 5,pussy,eat,dont,got,best,dick,want,new,face,makes
Topic 6,bitches,love,niggas,amp,bad,happy,know,hate,get,cant
Topic 7,hoes,nigga,aint,yall,get,birds,got,dont,shit,niggas
Topic 8,fucking,wan,right,retarded,ghetto,ever,bitch,always,yankees,get
Topic 9,bitch,got,youre,bad,thats,say,stupid,shit,ass,damn
